id;yontem;records;size_diff_mb;write_time_ms;read_time_ms
1;totp_secret;1000;0.05078125;6.213800003024517;0.6782999989809468
2;totp_secret;10000;0.53125;3.7451999996847007;6.049799998436356
3;totp_secret;100000;5.421875;3.1221999997796956;118.61180000050808
4;telefon;1000;0.03515625;4.3264999985694885;0.6440999968617689
5;telefon;10000;0.37109375;3.0781999994360376;6.058599999960279
6;telefon;100000;3.7578125;5.883799996809103;150.9334000002127
7;email;1000;0.04296875;3.225899999961257;0.7253000003402121
8;email;10000;0.43359375;3.1567999976687133;7.762900000670925
9;email;100000;4.3671875;3.535899999405956;87.40080000279704
10;push_token;1000;0.1171875;5.248800000117626;0.7732999984000344
11;push_token;10000;1.265625;4.171599997789599;7.63820000065607
12;push_token;100000;12.78515625;4.350999999587657;98.27339999901596
13;donanim_anahtari;1000;0.28125;3.306700000393903;0.8530999984941445
14;donanim_anahtari;10000;3.078125;6.149600001663202;12.263200002053054
15;donanim_anahtari;100000;31.05078125;3.5724000008485746;130.42680000216933
16;yuz_verisi;1000;3.91796875;3.425200000492623;7.4373999996169005
17;yuz_verisi;10000;43.078125;3.8507999997818843;74.01649999883375
18;yuz_verisi;100000;434.68359375;6.821099999797298;976.7912999996042
